Continent;Year;Age;Value
Africa;1981;10-19;75.36178046157644
Africa;1981;20-29;87.23211365709409
Africa;1981;30-39;74.53094251073863
Africa;1981;40-49;74.66934538047751
Africa;1981;50-59;89.28802960286644
Africa;1981;60-69;118.40817622122871
Africa;1981;70-79;128.23907625501528
Africa;1981;80-89;66.10641546541582
Africa;1981;90+;8.738484426269931
Africa;1982;0-9;821.2804845026105
Africa;1982;10-19;73.76826398520565
Africa;1982;20-29;85.77309851867643
Africa;1982;30-39;73.32777359852446
Africa;1982;40-49;73.132022708655
Africa;1982;50-59;87.55389813864221
Africa;1982;60-69;116.95838133948865
Africa;1982;70-79;127.0617221438016
Africa;1982;80-89;66.52258540462174
Africa;1982;90+;8.876708354500174
Africa;1983;0-9;818.9121875832564
Africa;1983;10-19;75.36909088742607
Africa;1983;20-29;87.16708792946751
Africa;1983;30-39;74.49623593530309
Africa;1983;40-49;73.3347395705683
Africa;1983;50-59;87.59287741176723
Africa;1983;60-69;117.23144149125862
Africa;1983;70-79;126.89212580922504
Africa;1983;80-89;67.65038623685957
Africa;1983;90+;9.160532032468172
Africa;1984;0-9;801.3752109609862
Africa;1984;10-19;75.69363381305119
Africa;1984;20-29;88.56014382164521
Africa;1984;30-39;75.55285548597419
Africa;1984;40-49;73.41691595338399
Africa;1984;50-59;87.32326997216433
Africa;1984;60-69;116.44432815962433
Africa;1984;70-79;126.42197248093981
Africa;1984;80-89;68.03817851811024
Africa;1984;90+;9.586500747083946
Africa;1985;0-9;782.3113090242041
Africa;1985;10-19;74.49574705836136
Africa;1985;20-29;87.17703053981568
Africa;1985;30-39;74.7343654667798
Africa;1985;40-49;72.36142996974174
Africa;1985;50-59;86.02545831949452
Africa;1985;60-69;115.04067164264762
Africa;1985;70-79;125.36894797894607
Africa;1985;80-89;68.28620027446507
Africa;1985;90+;9.912842550858256
Africa;1986;0-9;758.8079645354793
Africa;1986;10-19;73.2781198065415
Africa;1986;20-29;86.29804290703254
Africa;1986;30-39;74.4177311466656
Africa;1986;40-49;71.41187599661473
