Continent,Year,Communicable,Noncommunicable,Injuries
Latin America and the Caribbean,2009,13.885141042308783,74.8562449795102,11.25861397818102
Latin America and the Caribbean,2010,12.889947356636291,74.21380743844902,12.896245204914683
Latin America and the Caribbean,2011,13.396700707164,75.7426902736567,10.860609019179293
Latin America and the Caribbean,2012,12.962354090996284,75.95605845905224,11.081587449951474
Latin America and the Caribbean,2013,12.728164750984694,76.40687381770296,10.864961431312343
Latin America and the Caribbean,2014,12.495743268295683,76.91320861540306,10.591048116301254
Latin America and the Caribbean,2015,12.203979239742125,77.14581333617771,10.650207424080168
Latin America and the Caribbean,2016,11.91419631165342,78.10952422123599,9.976279467110587
Latin America and the Caribbean,2017,11.568044619838549,78.16777963792455,10.264175742236889
Latin America and the Caribbean,2018,11.313119154230714,79.028746279926,9.65813456584329
Latin America and the Caribbean,2019,11.067408166803535,79.41746457128757,9.515127261908907
Northern America,1990,7.314282367592398,81.64323282180001,11.042484810607597
Northern America,1991,7.1339403286537815,81.93458306316595,10.931476608180272
Northern America,1992,7.2217986854381895,82.00135400562368,10.776847308938134
Northern America,1993,7.3456307830325684,82.08430194069506,10.570067276272374
Northern America,1994,7.252373980161652,82.33918541621739,10.408440603620955
Northern America,1995,7.007047582013598,82.67048259951417,10.322469818472227
Northern America,1996,7.065340464383491,82.83394297082211,10.100716564794396
Northern America,1997,6.39916365685831,83.5028383124336,10.097998030708094
Northern America,1998,6.203232238689749,83.87941969547836,9.917348065831897
Northern America,1999,6.074920076625025,84.17902905318023,9.746050870194743
Northern America,2000,6.042478458157093,84.011595349493,9.945926192349901
Northern America,2001,5.820774911662478,84.61472487775998,9.564500210577542
Northern America,2002,5.741376912679464,84.86012536709626,9.398497720224277
Northern America,2003,5.640908332225599,84.71274902701627,9.64634264075813
Northern America,2004,5.572130630164514,84.98267702972568,9.445192340109806
Northern America,2005,5.39524652422883,85.1939484513783,9.41080502439286
Northern America,2006,5.354362107477352,85.3584730820196,9.28716481050305
Northern America,2007,5.278750957830279,85.58669648667586,9.134552555493862
Northern America,2008,5.239823998030997,85.74159354205686,9.018582459912139
Northern America,2009,5.140347958380768,85.95041123116746,8.909240810451774
Northern America,2010,5.094588969208713,86.10898275012204,8.796428280669248
Northern America,2011,5.057103685239374,86.26577920030154,8.677117114459087
Northern America,2012,5.018460319956178,86.45972763581639,8.52181204422742
Northern America,2013,4.925393996646864,86.67237814012168,8.402227863231449
Northern America,2014,4.974253487430618,86.78795494817929,8.23779156439009
Northern America,2015,4.984743994351932,86.87115962975679,8.144096375891285
Northern America,2016,4.86351145757828,87.12871961673025,8.00776892569148
Northern America,2017,4.7980779959975655,87.3393048336338,7.862617170368635
Northern America,2018,4.735871009386777,87.61779802826881,7.646330962344413
Northern America,2019,4.6823677776883965,87.8736992575623,7.443932964749307
Oceania,1990,21.755775293030446,68.42943970496974,9.814785001999814
Oceania,1991,20.91296813777023,69.18935141445158,9.897680447778189
Oceania,1992,20.461719832728214,69.8619447388283,9.676335428443485
Oceania,1993,20.122380722774366,70.24769876912079,9.62992050810484
Oceania,1994,19.803813830321715,70.59040022120908,9.605785948469201
Oceania,1995,19.205099699141606,71.14056119332346,9.654339107534927
Oceania,1996,18.801930704076415,71.52681227946535,9.671257016458236
Oceania,1997,18.178530235037474,70.07546860129113,11.746001163671385
Oceania,1998,17.84689924628396,72.27326188280549,9.87983887091054
Oceania,1999,17.669942758478733,72.78662486715795,9.543432374363313
Oceania,2000,17.400597829238624,72.52048190390988,10.078920266851487
Oceania,2001,17.08154625825916,73.59615470816581,9.322299033575018
Oceania,2002,16.924684171754958,73.68503874439902,9.390277083846012
Oceania,2003,16.816502925707773,74.02664610671934,9.15685096757288
Oceania,2004,16.69025091579809,74.02739297541018,9.282356108791737
Oceania,2005,16.36154726977921,74.59347048153276,9.044982248688026
Oceania,2006,15.696599239124541,75.35389250641472,8.949508254460747
Oceania,2007,15.364174263667383,75.69127608103193,8.944549655300692
Oceania,2008,15.19258626458568,76.0368813152607,8.770532420153621
Oceania,2009,14.749616797165817,75.10595109333384,10.144432109500341
Oceania,2010,14.731139183146391,76.66662731484021,8.602233502013387
Oceania,2011,14.310057154876242,77.18602012979383,8.503922715329919
Oceania,2012,13.983635628955167,77.52649203732483,8.489872333720005
Oceania,2013,13.681455174688608,77.91982547570676,8.398719349604635
Oceania,2014,13.433702561093028,78.26335163064971,8.302945808257267
Oceania,2015,13.159377236572757,78.62578898856904,8.214833774858203
Oceania,2016,13.021553110717932,78.86888124376385,8.10956564551822
Oceania,2017,12.762147574853909,79.2767937646195,7.961058660526595
Oceania,2018,12.437033948183869,79.33598853370019,8.226977518115941
Oceania,2019,12.337674515623647,79.8994127001135,7.762912784262852
