Continent,Year,Disease,Value
Africa,2011,Cardiovascular,319.2664814814815
Africa,2011,Dementia,25.0287037037037
Africa,2011,Diharreal,81.92925925925927
Africa,2011,HIV/AIDS,139.79425925925926
Africa,2011,Malaria,62.364444444444445
Africa,2011,Malnutrition,17.99388888888889
Africa,2011,Smoking,73.37796296296295
Africa,2011,Tuberculosis,87.74851851851852
Africa,2012,Cancers,117.89703703703705
Africa,2012,Cardiovascular,317.70944444444444
Africa,2012,Dementia,25.084629629629628
Africa,2012,Diharreal,78.7535185185185
Africa,2012,HIV/AIDS,130.10685185185184
Africa,2012,Malaria,59.532592592592586
Africa,2012,Malnutrition,16.1312962962963
Africa,2012,Smoking,72.22518518518518
Africa,2012,Tuberculosis,84.95925925925927
Africa,2013,Cancers,118.06203703703704
Africa,2013,Cardiovascular,315.89185185185187
Africa,2013,Dementia,25.12185185185185
Africa,2013,Diharreal,76.35462962962963
Africa,2013,HIV/AIDS,121.54555555555555
Africa,2013,Malaria,56.30240740740741
Africa,2013,Malnutrition,15.554259259259258
Africa,2013,Smoking,71.10777777777778
Africa,2013,Tuberculosis,82.6574074074074
Africa,2014,Cancers,118.2211111111111
Africa,2014,Cardiovascular,313.75518518518516
Africa,2014,Dementia,25.076666666666668
Africa,2014,Diharreal,73.97722222222222
Africa,2014,HIV/AIDS,114.48666666666666
Africa,2014,Malaria,52.73222222222222
Africa,2014,Malnutrition,15.06
Africa,2014,Smoking,70.05981481481481
Africa,2014,Tuberculosis,80.6274074074074
Africa,2015,Cancers,118.29870370370371
Africa,2015,Cardiovascular,313.78037037037035
Africa,2015,Dementia,25.126296296296296
Africa,2015,Diharreal,71.67814814814814
Africa,2015,HIV/AIDS,107.48407407407406
Africa,2015,Malaria,49.87148148148148
Africa,2015,Malnutrition,14.67314814814815
Africa,2015,Smoking,69.23388888888888
Africa,2015,Tuberculosis,78.31037037037038
Africa,2016,Cancers,118.21222222222222
Africa,2016,Cardiovascular,311.3722222222222
Africa,2016,Dementia,25.116666666666667
Africa,2016,Diharreal,69.46314814814815
Africa,2016,HIV/AIDS,99.92703703703704
Africa,2016,Malaria,48.76907407407408
Africa,2016,Malnutrition,14.28037037037037
Africa,2016,Smoking,68.2125925925926
Africa,2016,Tuberculosis,75.55314814814814
Africa,2017,Cancers,118.3712962962963
Africa,2017,Cardiovascular,309.32666666666665
Africa,2017,Dementia,25.181296296296296
Africa,2017,Diharreal,67.50833333333333
Africa,2017,HIV/AIDS,92.23611111111111
Africa,2017,Malaria,45.798148148148144
Africa,2017,Malnutrition,13.92222222222222
Africa,2017,Smoking,67.26037037037037
Africa,2017,Tuberculosis,72.6362962962963
Africa,2018,Cancers,118.98796296296297
Africa,2018,Cardiovascular,308.2175925925926
Africa,2018,Dementia,25.285370370370373
Africa,2018,Diharreal,63.913333333333334
Africa,2018,HIV/AIDS,85.2162962962963
Africa,2018,Malaria,45.35055555555555
Africa,2018,Malnutrition,13.251666666666667
Africa,2018,Smoking,66.4687037037037
Africa,2018,Tuberculosis,69.5788888888889
Africa,2019,Cancers,118.76722222222223
Africa,2019,Cardiovascular,305.96037037037036
Africa,2019,Dementia,25.33648148148148
Africa,2019,Diharreal,61.068518518518516
Africa,2019,HIV/AIDS,80.63907407407407
Africa,2019,Malaria,45.401296296296294
Africa,2019,Malnutrition,12.700555555555555
Africa,2019,Smoking,65.49222222222222
Africa,2019,Tuberculosis,67.0038888888889
Asia,1990,Cancers,127.05061224489795
Asia,1990,Cardiovascular,427.4867346938775
Asia,1990,Dementia,23.158979591836733
Asia,1990,Diharreal,41.88979591836735
Asia,1990,HIV/AIDS,0.39591836734693875
Asia,1990,Malaria,6.030816326530612
Asia,1990,Malnutrition,9.408163265306122
Asia,1990,Smoking,155.89489795918368
Asia,1990,Tuberculosis,41.06755102040816
Asia,1991,Cancers,126.81448979591836
Asia,1991,Cardiovascular,427.924693877551
Asia,1991,Dementia,23.19938775510204
Asia,1991,Diharreal,40.44469387755102
Asia,1991,HIV/AIDS,0.5830612244897959
Asia,1991,Malaria,5.846938775510204
Asia,1991,Malnutrition,8.646122448979593
Asia,1991,Smoking,154.8869387755102
Asia,1991,Tuberculosis,39.898979591836735
Asia,1992,Cancers,127.06632653061224
Asia,1992,Cardiovascular,431.9540816326531
Asia,1992,Dementia,23.275510204081634
Asia,1992,Diharreal,38.91510204081632
Asia,1992,HIV/AIDS,0.8522448979591837
Asia,1992,Malaria,5.2234693877551015
Asia,1992,Malnutrition,8.024489795918367
Asia,1992,Smoking,154.51020408163265
Asia,1992,Tuberculosis,39.19183673469388
Asia,1993,Cancers,127.28979591836735
Asia,1993,Cardiovascular,435.9430612244898
Asia,1993,Dementia,23.34122448979592
Asia,1993,Diharreal,37.37326530612245
Asia,1993,HIV/AIDS,1.2385714285714284
Asia,1993,Malaria,4.8008163265306125
Asia,1993,Malnutrition,7.472244897959183
Asia,1993,Smoking,154.2242857142857
Asia,1993,Tuberculosis,38.41102040816326
Asia,1994,Cancers,127.09204081632653
Asia,1994,Cardiovascular,437.19469387755106
Asia,1994,Dementia,23.39204081632653
Asia,1994,Diharreal,35.78183673469388
Asia,1994,HIV/AIDS,1.6583673469387756
Asia,1994,Malaria,4.1020408163265305
Asia,1994,Malnutrition,6.9832653061224494
Asia,1994,Smoking,153.3530612244898
Asia,1994,Tuberculosis,37.58408163265306
Asia,1995,Cancers,126.75877551020409
Asia,1995,Cardiovascular,434.61673469387756
Asia,1995,Dementia,23.434897959183672
Asia,1995,Diharreal,34.058571428571426
Asia,1995,HIV/AIDS,2.190204081632653
Asia,1995,Malaria,3.672857142857143
Asia,1995,Malnutrition,18.206122448979592
Asia,1995,Smoking,152.14020408163265
Asia,1995,Tuberculosis,36.69857142857143
Asia,1996,Cancers,126.46775510204081
Asia,1996,Cardiovascular,432.62020408163266
Asia,1996,Dementia,23.47020408163265
Asia,1996,Diharreal,32.276326530612245
Asia,1996,HIV/AIDS,2.7328571428571427
Asia,1996,Malaria,3.431428571428572
Asia,1996,Malnutrition,14.18061224489796
Asia,1996,Smoking,150.38448979591837
Asia,1996,Tuberculosis,35.66469387755102
Asia,1997,Cancers,125.7965306122449
Asia,1997,Cardiovascular,430.82714285714286
Asia,1997,Dementia,23.51061224489796
Asia,1997,Diharreal,30.702040816326534
Asia,1997,HIV/AIDS,3.2620408163265306
Asia,1997,Malaria,3.5895918367346935
Asia,1997,Malnutrition,14.00204081632653
Asia,1997,Smoking,148.0730612244898
Asia,1997,Tuberculosis,34.674285714285716
Asia,1998,Cancers,125.0073469387755
Asia,1998,Cardiovascular,428.4114285714286
Asia,1998,Dementia,23.550204081632653
Asia,1998,Diharreal,29.176326530612247
Asia,1998,HIV/AIDS,3.7712244897959186
Asia,1998,Malaria,3.2426530612244897
Asia,1998,Malnutrition,13.963061224489797
Asia,1998,Smoking,145.39020408163265
Asia,1998,Tuberculosis,33.62020408163266
Asia,1999,Cancers,124.24224489795918
Asia,1999,Cardiovascular,426.34367346938774
Asia,1999,Dementia,23.556122448979593
Asia,1999,Diharreal,27.621428571428574
Asia,1999,HIV/AIDS,4.231020408163265
Asia,1999,Malaria,3.201020408163265
Asia,1999,Malnutrition,14.126530612244899
Asia,1999,Smoking,142.65183673469386
Asia,1999,Tuberculosis,32.471428571428575
Asia,2000,Cancers,123.23734693877552
Asia,2000,Cardiovascular,423.0589795918367
Asia,2000,Dementia,23.546530612244897
Asia,2000,Diharreal,26.078367346938773
Asia,2000,HIV/AIDS,4.60938775510204
Asia,2000,Malaria,2.227551020408163
Asia,2000,Malnutrition,13.431836734693876
Asia,2000,Smoking,139.7430612244898
Asia,2000,Tuberculosis,31.46
Asia,2001,Cancers,121.97918367346938
Asia,2001,Cardiovascular,418.7867346938775
Asia,2001,Dementia,23.53816326530612
Asia,2001,Diharreal,24.344081632653058
Asia,2001,HIV/AIDS,4.917142857142857
Asia,2001,Malaria,2.1748979591836735
Asia,2001,Malnutrition,12.942653061224489
Asia,2001,Smoking,136.66591836734693
Asia,2001,Tuberculosis,30.138367346938775
Asia,2002,Cancers,122.06040816326531
Asia,2002,Cardiovascular,420.7979591836734
Asia,2002,Dementia,23.613673469387752
Asia,2002,Diharreal,22.793673469387755
Asia,2002,HIV/AIDS,5.086734693877551
Asia,2002,Malaria,2.560204081632653
Asia,2002,Malnutrition,12.500204081632653
Asia,2002,Smoking,135.6922448979592
Asia,2002,Tuberculosis,28.738979591836735
Asia,2003,Cancers,122.36836734693878
Asia,2003,Cardiovascular,420.58183673469387
Asia,2003,Dementia,23.64591836734694
Asia,2003,Diharreal,21.401020408163266
Asia,2003,HIV/AIDS,5.182448979591837
Asia,2003,Malaria,2.3177551020408163
Asia,2003,Malnutrition,3.7
Asia,2003,Smoking,134.22040816326532
Asia,2003,Tuberculosis,27.45244897959184
Asia,2004,Cancers,122.24836734693878
Asia,2004,Cardiovascular,417.4167346938775
Asia,2004,Dementia,23.677551020408163
Asia,2004,Diharreal,19.92612244897959
Asia,2004,HIV/AIDS,5.192448979591837
Asia,2004,Malaria,2.4548979591836737
Asia,2004,Malnutrition,3.3908163265306124
Asia,2004,Smoking,131.82183673469387
Asia,2004,Tuberculosis,25.950408163265305
Asia,2005,Cancers,122.5704081632653
Asia,2005,Cardiovascular,416.3218367346939
Asia,2005,Dementia,23.741020408163266
Asia,2005,Diharreal,18.75387755102041
Asia,2005,HIV/AIDS,5.098979591836735
Asia,2005,Malaria,2.2591836734693875
Asia,2005,Malnutrition,3.135918367346939
Asia,2005,Smoking,130.2695918367347
Asia,2005,Tuberculosis,24.6934693877551
Asia,2006,Cancers,122.51142857142858
Asia,2006,Cardiovascular,411.68163265306123
Asia,2006,Dementia,23.801020408163264
Asia,2006,Diharreal,17.71816326530612
Asia,2006,HIV/AIDS,4.826734693877551
Asia,2006,Malaria,2.260204081632653
Asia,2006,Malnutrition,2.89265306122449
Asia,2006,Smoking,128.04755102040815
Asia,2006,Tuberculosis,23.366938775510203
Asia,2007,Cancers,122.07142857142857
Asia,2007,Cardiovascular,402.87102040816325
Asia,2007,Dementia,23.833877551020407
Asia,2007,Diharreal,16.762448979591838
Asia,2007,HIV/AIDS,4.521020408163265
Asia,2007,Malaria,2.219183673469388
Asia,2007,Malnutrition,2.682857142857143
Asia,2007,Smoking,125.2261224489796
Asia,2007,Tuberculosis,21.992244897959182
Asia,2008,Cancers,122.14448979591836
Asia,2008,Cardiovascular,396.619387755102
Asia,2008,Dementia,23.89020408163265
Asia,2008,Diharreal,15.924285714285714
Asia,2008,HIV/AIDS,4.249591836734694
Asia,2008,Malaria,2.3016326530612243
Asia,2008,Malnutrition,2.519387755102041
Asia,2008,Smoking,123.08734693877551
Asia,2008,Tuberculosis,20.701632653061225
Asia,2009,Cancers,121.81285714285714
Asia,2009,Cardiovascular,388.5673469387755
Asia,2009,Dementia,23.92795918367347
Asia,2009,Diharreal,15.019795918367347
Asia,2009,HIV/AIDS,4.045918367346939
Asia,2009,Malaria,1.997142857142857
Asia,2009,Malnutrition,2.3657142857142857
Asia,2009,Smoking,120.39591836734694
Asia,2009,Tuberculosis,19.51408163265306
Asia,2010,Cancers,121.61163265306124
Asia,2010,Cardiovascular,383.18285714285713
Asia,2010,Dementia,23.937551020408165
Asia,2010,Diharreal,14.20673469387755
Asia,2010,HIV/AIDS,3.8875510204081634
Asia,2010,Malaria,2.126122448979592
Asia,2010,Malnutrition,2.245714285714286
Asia,2010,Smoking,118.15775510204082
Asia,2010,Tuberculosis,18.395714285714284
Asia,2011,Cancers,121.29673469387755
Asia,2011,Cardiovascular,377.42612244897964
Asia,2011,Dementia,23.939183673469387
Asia,2011,Diharreal,13.522244897959185
Asia,2011,HIV/AIDS,3.7716326530612245
Asia,2011,Malaria,1.5171428571428571
Asia,2011,Malnutrition,2.1346938775510202
Asia,2011,Smoking,116.0361224489796
Asia,2011,Tuberculosis,17.350408163265307
Asia,2012,Cancers,120.60816326530613
Asia,2012,Cardiovascular,370.6338775510204
Asia,2012,Dementia,23.953673469387756
Asia,2012,Diharreal,12.750408163265305
Asia,2012,HIV/AIDS,3.6851020408163264
Asia,2012,Malaria,1.2289795918367348
Asia,2012,Malnutrition,2.036326530612245
Asia,2012,Smoking,113.5465306122449
Asia,2012,Tuberculosis,16.391020408163264
Asia,2013,Cancers,119.62326530612245
Asia,2013,Cardiovascular,363.8683673469388
Asia,2013,Dementia,23.97612244897959
Asia,2013,Diharreal,12.158979591836735
Asia,2013,HIV/AIDS,3.6046938775510204
